,Harveststatus_month,ID_NUM,日龄,鸡舍温度-平均_mean,鸡舍温度-最低_mean,鸡舍温度-最高_mean,eef_high_flg,eef
31576,8,G10_60_H14,24,30.14375,29.978125,30.346875,0,448.195607512446
31577,8,G10_60_H14,25,30.09583333333333,29.940625,30.289583333333336,0,448.195607512446
31578,8,G10_60_H14,26,29.22947368421053,29.087368421052638,29.40842105263158,0,448.195607512446
31579,8,G10_60_H14,27,28.68541666666667,28.49375,28.9,0,448.195607512446
31580,8,G10_60_H14,28,28.867708333333336,28.738541666666663,29.027083333333334,0,448.195607512446
31581,8,G10_60_H14,29,28.902083333333334,28.728125,29.1,0,448.195607512446
31582,8,G10_60_H14,30,29.094791666666666,28.95625,29.245833333333334,0,448.195607512446
31583,8,G10_60_H14,31,29.303125,29.151041666666668,29.46666666666667,0,448.195607512446
31584,8,G10_60_H14,32,29.12708333333333,28.976041666666664,29.296875,0,448.195607512446
31585,8,G10_60_H14,33,29.26458333333333,29.134375,29.39270833333333,0,448.195607512446
31586,8,G10_60_H14,34,26.34375,26.25208333333333,26.507291666666664,0,448.195607512446
31587,8,G10_60_H14,35,26.659302325581397,26.526744186046518,26.81860465116279,0,448.195607512446
31588,8,G10_60_H14,36,27.766666666666666,27.626041666666666,27.9125,0,448.195607512446
31589,8,G10_60_H15,9,29.600000000000005,29.5,29.633333333333336,0,442.0944660396436
31590,8,G10_60_H15,10,32.161458333333336,31.985416666666666,32.360416666666666,0,442.0944660396436
31591,8,G10_60_H15,11,32.38854166666667,32.233333333333334,32.571875,0,442.0944660396436
31592,8,G10_60_H15,12,31.63125,31.448958333333334,31.846875,0,442.0944660396436
31593,8,G10_60_H15,13,30.370833333333334,30.221875,30.540625,0,442.0944660396436
31594,8,G10_60_H15,14,30.478125,30.33020833333333,30.64375,0,442.0944660396436
31595,8,G10_60_H15,15,30.5875,30.43645833333333,30.76770833333333,0,442.0944660396436
31596,8,G10_60_H15,16,31.12395833333333,30.971875,31.27916666666667,0,442.0944660396436
31597,8,G10_60_H15,17,31.37708333333333,31.184375,31.5875,0,442.0944660396436
31598,8,G10_60_H15,18,30.932291666666668,30.759375,31.147916666666664,0,442.0944660396436
31599,8,G10_60_H15,19,30.334375,30.109375,30.563541666666666,0,442.0944660396436
31600,8,G10_60_H15,20,29.578125,29.402083333333334,29.782291666666666,0,442.0944660396436
31601,8,G10_60_H15,21,28.67708333333333,28.54895833333333,28.820833333333336,0,442.0944660396436
